configuration,run_id,category,n,functional_success,clean_success,skill_precision,skill_recall,skill_f1,department_precision,department_recall,department_f1,required_order_accuracy,final_status_correct,route_choice_correct,no_tool_accuracy,blocked_flow_accuracy,gold_constraint_violation_rate
B,run_02_PATCHED_NONFORMAL,cross_department_goal,9,0.111111,0.111111,0.991453,0.916931,0.948971,1.0,0.925926,0.955556,0.828327,0.222222,0.555556,,,0.666667
B,run_02_PATCHED_NONFORMAL,no_tool,3,0.666667,0.666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666667,,0.0
B,run_02_PATCHED_NONFORMAL,single_department_goal,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
B,run_02_PATCHED_NONFORMAL,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0
B,run_02_PATCHED_NONFORMAL,special_constraint,3,0.0,0.0,0.333333,1.0,0.333333,1.0,1.0,1.0,1.0,1.0,0.666667,,0.0,1.0
