configuration,run_id,category,n,functional_success,clean_success,skill_precision,skill_recall,skill_f1,department_f1,required_order_accuracy,final_status_correct,route_choice_correct,gold_constraint_violation_rate
B,1,cross_department_goal,9,0.333333,0.333333,0.992063,0.924868,0.95338,0.955556,0.828327,0.777778,0.444444,0.666667
B,1,no_tool,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B,1,single_department_goal,5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2
B,1,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B,1,special_constraint,3,0.0,0.0,0.285714,1.0,0.307692,1.0,1.0,1.0,0.666667,1.0
