configuration,run_id,category,n,functional_success,clean_success,skill_precision,skill_recall,skill_f1,department_f1,required_order_accuracy,final_status_correct,route_choice_correct,gold_constraint_violation_rate
C,1,cross_department_goal,9,0.333333,0.333333,0.986111,0.981481,0.982492,1.0,0.977778,0.555556,0.444444,0.666667
C,1,no_tool,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,1,single_department_goal,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,1,single_skill,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C,1,special_constraint,3,0.0,0.0,0.285714,1.0,0.307692,1.0,1.0,1.0,0.666667,1.0
